,Tweet,Usuario,Fecha,RTs,Favs
63,"RT @YuryHdz08: Putin veía como  Zelenski utilizaba sus tropas para bombardear su propia población, Occidente les vendía armamento, el cual…",luis_cordido,2022-06-21 01:27:06,54,0
64,@liusivaya Lo q los medios occidentales no te mostrarán!!!😱 En verdad no son armas proibidas… son Putin toys!!! https://t.co/2kmB8FsZVZ,clowdestino,2022-06-21 01:27:03,0,0
65,RT @infobaeamerica: China sigue financiando la invasión de Putin a Ucrania: sus importaciones de petróleo ruso aumentaron en mayo un 55 por…,HuarazN,2022-06-21 01:27:01,79,0
66,@Gus_Noriega La guerra es parte del plan de reset de las élites financieras internacionales sionistas y tecnócratas… https://t.co/OBjWQvWU2K,diegovggsantafe,2022-06-21 01:26:54,0,1
67,"Y, por cierto el otro día Vladimir Putin dijo; el peor error que puede cometer la UE es integrar a Ucrania en la UE… https://t.co/9D2Z3OemZ3",solo_capi,2022-06-21 01:26:47,0,0
68,"RT @ActualidadRT: Putin: ""A empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" https://t.co/v2fm3i37eH",elinforman_t,2022-06-21 01:26:33,163,0
69,RT @MariaesPueblo: PUTIN SAN PETESBURGO: Viendo y escuchando cada día me convenzo más q nada justificaba la aplicación en Venezuela d maner…,marlonr2002,2022-06-21 01:26:31,272,0
70,"Europa es un polvorín, en cualquier momento puede saltar la chispa que detone todo por los aires. No es menor lo qu… https://t.co/k7HYjokQyF",MontoyaOscar207,2022-06-21 01:26:10,0,0
71,"RT @ErikSueco: La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",DrParnassus20,2022-06-21 01:26:09,2218,0
72,"RT @Soldado_Leal_4F: Putin tenía razón, jajajaja, les está saliendo el tiro por la culata a los gringos 👇🏻👇🏻👇🏻👇🏻

EE. UU. admite efecto bum…",jennyca35561303,2022-06-21 01:26:08,11,0
73,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",Emymora10,2022-06-21 01:25:53,1492,0
74,"¿COMO PARA QUE?????

Se reúnen Ben Stiller y Zelensky ? eso no va a modificar el pensar de Putin y tampoco va a hac… https://t.co/IgUD5UoGF5",CaniHek,2022-06-21 01:25:40,0,0
75,"RT @nicolasmorasok: 💣 Putin advierte FIN del MUNDO, Gates MAS CRISIS, Colombia SOCIALISTA, ¿Assange Extraditado? 🔥 https://t.co/phL3eCzcLU…",expox,2022-06-21 01:25:31,18,0
76,"RT @teleSURtv: El presidente de #China 🇨🇳, Xi Jinping, aseguró al mandatario de #Rusia 🇷🇺, Vladimir Putin, su apoyo en cuestiones de sobera…",FebreroRebelde7,2022-06-21 01:25:29,39,0
77,@PedroKonductaz Bueno ahora que se vayan a USA y ojalá Putin le envío unos 20 misiles satan y acabe con esa plaga...,EnrafLopez,2022-06-21 01:25:21,0,0
78,"RT @teleSURtv: El presidente de #China 🇨🇳, Xi Jinping, aseguró al mandatario de #Rusia 🇷🇺, Vladimir Putin, su apoyo en cuestiones de sobera…",miguelanggell,2022-06-21 01:25:21,39,0
79,Porque no hace falta estar en la guerra para combatir a Putin y ser un héroe... https://t.co/psFj8e5VM9,2006_tiburon,2022-06-21 01:25:13,0,1
80,"El tren con los tanques T-80BV que fue avisto hace un par de días,  ha llegado a los (LPR) Lugansk

Medios y redes… https://t.co/1LMKP9kWU6",NotasDeHugo,2022-06-21 01:25:13,0,0
81,@PochoCapo21 @Ziggyflamel @RafaelDiDonato1 @fmarguery @AlfredoGarcia09 @JTrostchansky Ssshi shhi Nazi…claro pobre i… https://t.co/1KH5ooAnl5,UnSoloUY,2022-06-21 01:25:09,0,0
82,@zuvir @clcairo @miguelsabat @doblerrster @rascanio57 @fmoral1959 @toroalvarol ¿Bueno y que es un ultimatum para qu… https://t.co/XjgmZsP6e4,lbgeraldino_n,2022-06-21 01:25:07,0,0
83,"RT @estuardinho10: cátedra de mi presidente VLADIMIR PUTIN de cómo tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",attorneypecera,2022-06-21 01:25:05,8,0
84,RT @infobae: La dirección de e-mail detrás de la que podrían esconderse USD 4.500 millones en propiedades de Vladimir Putin https://t.co/cd…,ASzkadun,2022-06-21 01:25:02,3,0
85,"RT @YuryHdz08: ""La época del orden mundial unipolar ha terminado""

Viva Putin 🇷🇺 https://t.co/Oe5JSe7Zv6",CARLAPERNO,2022-06-21 01:24:58,94,0
86,"RT @ingcarlosmb: Vicky deja de desinformar a través de ese pasquín de Semana, la caída de las empresas petroleras es mundial por la guerra…",_mandalorian1,2022-06-21 01:24:37,4,0
87,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",enzo_log86,2022-06-21 01:24:04,1492,0
88,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",teav2015,2022-06-21 01:24:04,1492,0
89,"RT @estuardinho10: cátedra de mi presidente VLADIMIR PUTIN de cómo tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",DaniloR03074448,2022-06-21 01:23:37,8,0
90,RT @TronAleks: #Rusia🇷🇺 La flota rusa del Mar Negro se ha alineado a lo largo de la costa occidental de #Crimea para un ataque masivo contr…,antonior1949,2022-06-21 01:23:37,45,0
91,"Integrante artículo.
Al descubierto, una red de empresas vinculadas al nazi Putin, que poseen un capital de 4.500 m… https://t.co/VHCFhJ85ZD",vieques15,2022-06-21 01:23:30,0,0
92,"RT @LlamosasAdela: 🇷🇺💪Mientras Putin manda médicos medicamentos y todo l necesario para atender a los heridos tanto militares , prisioneros…",bezerides,2022-06-21 01:23:27,2,0
93,"@CdCivica No respaldas a Pancho por ser católico, lo haces porque Pancho, cómo buen peroncho argentino, es fanático de Putin",pukakunas,2022-06-21 01:23:27,0,0
94,"RT @ErikSueco: La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",mereyanamay,2022-06-21 01:23:15,2218,0
95,"RT @YuryHdz08: ""La época del orden mundial unipolar ha terminado""

Viva Putin 🇷🇺 https://t.co/Oe5JSe7Zv6",RodrigezThayri,2022-06-21 01:23:09,94,0
96,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",Pabla2255102021,2022-06-21 01:23:09,1492,0
97,"RT @ErikSueco: La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",luciastemp,2022-06-21 01:23:03,2218,0
98,RT @elcomercio_peru: Más de 100.000 personas reclaman en Georgia la adhesión a la Unión Europea https://t.co/WFbnHVPICq,HerberthOlivos,2022-06-21 01:22:55,1,0
99,@Perculaess @Charly_G_P @liusivaya teniendo en cuenta el amplio repertorio del significado de objetivo militar en r… https://t.co/lLuFPH8KP0,eljibumastr,2022-06-21 01:22:52,0,0
